"item","Zh","outfit","z.outfit","infit","z.infit","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2","X2_star","p.X2_star"
"Item16",0.663013356814912,0.961972514990268,-0.597492884243727,0.98229192856716,-0.277625460662342,75.4877044945101,63,0.0165807205381116,0.134583741089554,71.6741180170935,0.018
"Item17",0.903110108874535,0.925771950226166,-1.10364235835621,0.961416974046126,-0.642809643231773,85.2875837244499,60,0.0241774452939985,0.0176408275737598,27.0257277635772,0.2064
"Item18",1.00990779457976,0.934627293249832,-0.765037309838689,0.957528106779173,-0.696035532468071,57.1238996734199,54,0.00895744245004101,0.359837735520076,51.0061953088997,0.0426
"Item19",1.00730933798743,0.917201209994519,-1.18878452288629,0.948079263772987,-0.87668450867324,59.3469174480944,60,0,0.499550948172682,30.4577455159123,0.1382
"Item20",0.788844811174127,0.976526082282134,-0.370573387057926,0.979693023459504,-0.333324641242078,77.7689471432283,70,0.0124069328293334,0.245208671869789,64.372967864,0.0228
"Item21",1.01028445791626,0.935304863232863,-0.8644041545941,0.959131174740653,-0.669857361890047,55.2016642706111,59,0,0.616273535220241,17.7743810498361,0.5534
"Item22",1.08608193251237,0.943481999132441,-0.659374886188912,0.950644325338695,-0.812478530074878,60.554826448089,56,0.0106212167335086,0.314946171064637,29.1728416697626,0.1614
"Item23",0.837571266794134,0.960298218003966,-0.627761871468123,0.979123628809148,-0.34100776821219,100.298310521077,69,0.0250823526604814,0.00824589083122667,72.538277603445,0.018
"Item24",0.890309487718536,0.954497723930531,-0.720499237134422,0.944892640798827,-0.915132730329105,115.745039753033,63,0.0340763370259749,5.80740919385929e-05,34.8743150109611,0.102
"Item25",0.698540703449329,0.963106440238042,-0.585862482032756,0.955331663248924,-0.728786966041956,141.308442540621,67,0.0392205830636463,3.11354756055418e-07,29.8073814292802,0.177
"Item26",1.11796473496966,0.937805891013722,-0.948325418716202,0.948411275937775,-0.876553239097276,79.6455836297913,54,0.0256650302937925,0.0131778113102914,53.2597208574155,0.0334
"Item27",1.05767255506551,0.913878234802056,-1.24382006556614,0.937675185050069,-1.06006257116089,70.0140508986182,59,0.0160908839031675,0.1544715597431,30.0833222685013,0.1386
"Item28",0.877839048830712,0.945172563787408,-0.89242680820857,0.946956000670128,-0.90980255076847,88.8462897104516,64,0.0232045501278894,0.0216867021031874,15.3233499022283,0.8028
"Item29",0.553613440319777,0.940024853966805,-0.874182005463196,0.973830891725779,-0.401305353920364,118.013570382155,74,0.028721677918207,0.000871929237881983,84.6069963262959,0.01
"Item30",0.80973544341319,0.934226506549363,-1.02151965427658,0.959835271116294,-0.663903296652243,69.5174577278262,62,0.0129679706888719,0.239188081709459,24.7715636650564,0.2778
"Item31",0.972355833915129,0.925526113944285,-1.00210899555322,0.952242829745161,-0.804424169986815,53.2433654089811,58,0,0.652451250218492,28.5917738802447,0.173
"Item32",0.622390408588844,0.974744832587858,-0.369580052118408,0.972235890100473,-0.426321520452876,82.8155735626481,64,0.0201930123766563,0.0569370434182798,24.2722067136356,0.3216
"Item33",0.643761000572814,0.925301986829412,-0.988542420824993,0.982076942102498,-0.273366024808832,133.518644472879,77,0.0319067723492101,6.92837119390589e-05,50.1915295679086,0.0326
"Item34",0.668864794211614,0.956206733192626,-0.59846493938754,0.964929748861396,-0.561021100798241,98.5414859812781,73,0.0220289611923881,0.0249000979036976,41.6486389075549,0.0632
"Item35",0.701264034881491,1.00173367644412,0.0481341256452817,0.988424898172155,-0.171158330555261,95.037017169701,70,0.0222727909690065,0.0249442226854992,500.106867277624,8e-04
"Item36",0.865291488554179,0.924337523957679,-0.862692906379744,0.973433010432288,-0.419581122869454,108.569755777833,64,0.031078675923004,0.000427874825379142,47.4624648225358,0.047
